year,ISG,TO,P_GDP,P_GDPb,FX,EI,EIb,TI
1996,21.6839165728619,26.0760877233809,394.717475124248,1130.86005913727,41.7941683333333,0.34441983426822315,0.12021693247242259,153.0
1997,21.8626700944451,26.3255133900833,401.498690814147,1176.89572593089,43.8921158333333,0.34633011229922667,0.11815072789704514,165.0
1998,22.6607423702209,27.8800634028394,407.429186160797,1226.02089266519,46.9056516666667,0.34847031131640144,0.11580306354502966,216.0
1999,22.3758655367007,28.3879405571158,409.543196853608,1275.73823400107,49.0854,0.34423686025129246,0.11050845735022845,249.0
2000,22.2793826819325,29.3217143619038,418.068968311378,1346.74320450441,52.1416666666667,0.34217754871260486,0.10622204314165266,318.0
2001,22.5838118742213,32.0980170730117,415.034426620147,1419.13778161562,55.8066666666667,0.36999356854776333,0.10820659598009029,295.0
2002,22.8392543728467,28.9673807211649,413.080254575162,1469.84576124734,57.888,0.3737594573158241,0.1050400360694134,289.0
2003,22.4741487860882,27.657884900158,446.310659190362,1541.18592296435,58.15004,0.3582594186900453,0.10374802607148431,318.0
2004,22.7797200060528,26.8582341492431,475.291919786935,1638.91616497517,59.5126583333333,0.3371509108804207,0.09777504616454664,316.0
2005,23.2998442190711,34.396934864465,499.461940239156,1773.888587831,64.327475,0.32823869476046513,0.09241997297422659,344.0
2006,24.0953205119221,38.1119244325921,509.640142873216,1923.41757295333,68.9332333333333,0.3400492563723572,0.09010147044431939,310.0
2007,24.5005410079343,39.9423826531735,558.051860266708,2088.72093530987,68.874875,0.3204917955429954,0.08562706471673907,299.0
2008,24.7270013036793,42.6209140325589,634.987056467494,2231.68946441646,68.598275,0.29226125090228394,0.08315767690307883,338.0
2009,25.2955721814431,40.092796223023,702.264410019296,2335.91871656494,69.0390666666667,0.2749293734300532,0.0826540379421903,330.0
2010,24.9564767264585,37.8028426708321,781.153593557047,2466.90294873953,69.6492916666667,0.2646869464166568,0.08381406308126475,342.0
2011,25.0452996007551,47.4208498356898,861.758444349051,2650.72993332452,74.1524,0.24607518837052347,0.07999961401466564,306.0
2012,25.309959389543,48.1109227476789,883.105000541313,2844.70256474475,81.8626583333333,0.24908662077869131,0.07732605970963347,354.0
2013,26.307070164309,46.2964027239758,981.839879150399,3033.40463209227,78.103235,0.2261638242221084,0.07320377225417005,303.0
2014,26.3110467833576,44.5140801968096,1118.8536634927,3240.88562338726,77.6414083333333,0.20489400923891934,0.0707357307553087,293.0
2015,26.8313948329541,42.0859963070382,1248.45339778371,3451.398506706,77.9469083333333,,,340.0
2016,27.3461176033502,37.9542963529911,1401.62062821515,3696.77619313802,78.4680916666667,,,344.0
2017,27.7508999829539,35.3040000906967,1563.99408178663,3998.41942353744,80.4375416666667,,,302.0
2018,28.5369876541411,38.2448929879071,1698.26280233547,4371.75498582046,83.4662019166667,,,368.0
2019,,,,,,,,
